date,period,PMD,precio_desvio_subir,precio_desvio_bajar,spread_desvio_subir,spread_desvio_bajar,ratio_desvio,is_desvio_unico_a_subir,is_desvio_unico_a_bajar,is_pseudo_desvio_unico_a_subir,is_pseudo_desvio_unico_a_bajar,ratio_bigger
2024-06-01 00:00:00,1,4.99,1.1,9.54,-3.89,4.549999999999999,-1.1696658097686372,,,,,
2024-06-01 01:00:00,2,3.25,3.56,8.8,0.31000000000000005,5.550000000000001,,1,,,,
2024-06-01 02:00:00,3,3.25,1.09,8.27,-2.16,5.02,-2.3240740740740735,,,,,
2024-06-01 03:00:00,4,1.23,0.13,3.15,-1.1,1.92,-1.7454545454545451,,,1,1,
2024-06-01 04:00:00,5,0.09,0.01,-5.42,-0.08,-5.51,,,1,1,,
2024-06-01 05:00:00,6,3.25,0.0,6.91,-3.25,3.66,-1.1261538461538463,,,,,
2024-06-01 06:00:00,7,3.25,1.65,8.04,-1.6,4.789999999999999,-2.9937499999999995,,,1,,
2024-06-01 07:00:00,8,3.25,0.0,8.98,-3.25,5.73,-1.7630769230769232,,,,,
2024-06-01 08:00:00,9,0.0,-11.4,3.05,-11.4,3.05,3.737704918032787,,,,,1
2024-06-01 09:00:00,10,0.0,-7.4,0.24,-7.4,0.24,30.833333333333336,,,,1,
2024-06-01 10:00:00,11,-0.01,-4.95,1.83,-4.94,1.84,2.6847826086956523,,,,1,
2024-06-01 11:00:00,12,-0.36,-18.58,0.43,-18.22,0.79,23.063291139240505,,,,1,
2024-06-01 12:00:00,13,-0.5,-6.24,0.42,-5.74,0.9199999999999999,6.239130434782609,,,,1,
2024-06-01 13:00:00,14,-0.36,-9.38,0.0,-9.020000000000001,0.36,25.05555555555556,,,,1,
2024-06-01 14:00:00,15,-0.6,-8.53,0.42,-7.93,1.02,7.7745098039215685,,,,1,
2024-06-01 15:00:00,16,-0.62,-9.88,0.38,-9.260000000000002,1.0,9.260000000000002,,,,1,
2024-06-01 16:00:00,17,-0.66,-6.52,0.42,-5.859999999999999,1.08,5.425925925925925,,,,1,
2024-06-01 17:00:00,18,-0.6,-4.84,0.42,-4.24,1.02,4.1568627450980395,,,,1,
2024-06-01 18:00:00,19,-0.01,-4.31,-1.35,-4.3,-1.34,,,1,,,
2024-06-01 19:00:00,20,0.0,-3.03,1.84,-3.03,1.84,1.6467391304347825,,,,1,
2024-06-01 20:00:00,21,3.25,0.05,20.4,-3.2,17.15,-5.359374999999999,,,,,1
2024-06-01 21:00:00,22,7.2,1.34,63.0,-5.86,55.8,-9.522184300341296,,,,,1
2024-06-01 22:00:00,23,8.44,1.96,66.0,-6.4799999999999995,57.56,-8.882716049382717,,,,,1
2024-06-01 23:00:00,24,4.5,1.29,4.45,-3.21,-0.04999999999999982,,,1,,,
2024-06-02 00:00:00,1,7.2,0.0,10.46,-7.2,3.2600000000000007,2.2085889570552144,,,,,
2024-06-02 01:00:00,2,5.0,0.0,31.11,-5.0,26.11,-5.2219999999999995,,,,,1
2024-06-02 02:00:00,3,4.35,0.01,23.66,-4.34,19.310000000000002,-4.449308755760369,,,,,1
2024-06-02 03:00:00,4,3.6,1.66,10.15,-1.9400000000000002,6.550000000000001,-3.3762886597938144,,,1,,
2024-06-02 04:00:00,5,3.6,0.46,29.57,-3.14,25.97,-8.270700636942674,,,,,1
2024-06-02 05:00:00,6,5.0,0.2,27.6,-4.8,22.6,-4.708333333333334,,,,,1
2024-06-02 06:00:00,7,4.43,0.2,28.1,-4.2299999999999995,23.67,-5.595744680851065,,,,,1
2024-06-02 07:00:00,8,3.25,-1.46,28.2,-4.71,24.95,-5.29723991507431,,,,,1
2024-06-02 08:00:00,9,0.0,-14.57,3.25,-14.57,3.25,4.483076923076923,,,,,1
2024-06-02 09:00:00,10,-0.03,-6.61,0.44,-6.58,0.47,14.000000000000002,,,,1,
2024-06-02 10:00:00,11,-1.05,-1.84,0.44,-0.79,1.49,-1.8860759493670884,,,1,1,
2024-06-02 11:00:00,12,-1.86,-3.85,0.44,-1.99,2.3000000000000003,-1.155778894472362,,,1,,
2024-06-02 12:00:00,13,-1.86,-2.08,0.44,-0.21999999999999997,2.3000000000000003,-10.454545454545457,,,1,,
2024-06-02 13:00:00,14,-1.86,-2.93,0.44,-1.07,2.3000000000000003,-2.149532710280374,,,1,,
2024-06-02 14:00:00,15,-1.86,-16.79,0.42,-14.93,2.2800000000000002,6.548245614035087,,,,,1
2024-06-02 15:00:00,16,-1.86,-7.0,0.42,-5.14,2.2800000000000002,2.2543859649122804,,,,,
2024-06-02 16:00:00,17,-1.86,-6.8,0.44,-4.9399999999999995,2.3000000000000003,2.1478260869565213,,,,,
2024-06-02 17:00:00,18,-1.0,-6.47,0.0,-5.47,1.0,5.47,,,,1,
2024-06-02 18:00:00,19,-0.01,-6.21,0.29,-6.2,0.3,20.666666666666668,,,,1,
2024-06-02 19:00:00,20,0.44,-0.34,25.22,-0.78,24.779999999999998,-31.769230769230766,,,1,,
2024-06-02 20:00:00,21,11.35,6.67,41.84,-4.68,30.490000000000002,-6.514957264957266,,,,,1
2024-06-02 21:00:00,22,25.01,26.39,90.59,1.379999999999999,65.58,,1,,,,
2024-06-02 22:00:00,23,28.87,38.44,92.88,9.569999999999997,64.00999999999999,,1,,,,
2024-06-02 23:00:00,24,13.42,14.29,80.36,0.8699999999999992,66.94,,1,,,,
2024-06-03 00:00:00,1,9.16,33.03,73.48,23.87,64.32000000000001,,1,,,,
2024-06-03 01:00:00,2,14.1,6.55,54.46,-7.55,40.36,-5.345695364238411,,,,,1
2024-06-03 02:00:00,3,14.1,6.86,67.13,-7.239999999999999,53.029999999999994,-7.324585635359115,,,,,1
2024-06-03 03:00:00,4,12.5,12.6,55.07,0.09999999999999964,42.57,,1,,,,
2024-06-03 04:00:00,5,14.32,14.72,63.54,0.40000000000000036,49.22,,1,,,,
2024-06-03 05:00:00,6,10.15,20.58,76.52,10.429999999999998,66.36999999999999,,1,,,,
2024-06-03 06:00:00,7,35.01,32.91,90.73,-2.1000000000000014,55.720000000000006,-26.533333333333317,,,,,1
2024-06-03 07:00:00,8,37.94,34.56,86.43,-3.3799999999999955,48.49000000000001,-14.346153846153868,,,,,1
2024-06-03 08:00:00,9,41.93,8.67,91.34,-33.26,49.410000000000004,-1.485568250150331,,,,,
2024-06-03 09:00:00,10,35.0,12.34,75.43,-22.66,40.43000000000001,-1.7842012356575467,,,,,
2024-06-03 10:00:00,11,16.9,-4.37,-4.37,-21.27,-21.27,,,1,,,
2024-06-03 11:00:00,12,5.44,0.41,33.54,-5.03,28.099999999999998,-5.586481113320079,,,,,1
2024-06-03 12:00:00,13,4.46,4.39,68.84,-0.07000000000000028,64.38000000000001,-919.7142857142821,,,1,,
2024-06-03 13:00:00,14,8.3,9.87,67.63,1.5699999999999985,59.33,,1,,,,
2024-06-03 14:00:00,15,3.25,23.26,72.34,20.01,69.09,,1,,,,
2024-06-03 15:00:00,16,1.31,26.1,89.09,24.790000000000003,87.78,,1,,,,
2024-06-03 16:00:00,17,3.25,16.81,93.28,13.559999999999999,90.03,,1,,,,
2024-06-03 17:00:00,18,11.86,36.78,86.33,24.92,74.47,,1,,,,
2024-06-03 18:00:00,19,35.0,36.23,96.72,1.2299999999999969,61.72,,1,,,,
