date,period,RR_subir,RR_bajar,terc_bajar,terc_subir,sec_subir,sec_bajar,total_ssaa_no_sec
2024-06-01,1,25.0,-100.0,-477.375,,440.9,-16.0,-552.375
2024-06-01,2,,,-67.5,20.0,270.9,-33.2,-47.5
2024-06-01,3,8.3,-270.3,-210.0,142.5,175.8,-111.2,-329.5
2024-06-01,4,112.0,-92.0,-102.7,,347.1,-20.8,-82.7
2024-06-01,5,,,-102.5,,14.8,-242.6,-102.5
2024-06-01,6,,-200.0,-270.0,,85.4,-166.2,-470.0
2024-06-01,7,1.5,-201.5,-185.0,,141.8,-9.5,-385.0
2024-06-01,8,118.0,-174.0,-450.0,250.0,385.3,-247.2,-256.0
2024-06-01,9,373.8,-694.3,-590.175,,342.2,-107.2,-910.675
2024-06-01,10,1.0,-1167.5,-523.625,,200.5,-92.4,-1690.125
2024-06-01,11,22.5,-1089.8,-755.025,,379.5,-243.9,-1822.3249999999998
2024-06-01,12,,-2529.8,,,167.0,-191.8,-2529.8
2024-06-01,13,,-1621.5,-373.95,,131.5,-401.9,-1995.45
2024-06-01,14,,-1936.5,,,11.4,-270.6,-1936.5
2024-06-01,15,,-1922.8,-142.5,40.0,41.7,-245.7,-2025.3
2024-06-01,16,,-1874.3,-686.2,,171.6,-134.1,-2560.5
2024-06-01,17,6.0,-2006.0,-318.525,,146.7,-150.2,-2318.525
2024-06-01,18,,-1375.0,-326.95,,46.8,-408.7,-1701.95
2024-06-01,19,21.5,-1021.5,-643.85,,129.1,-204.2,-1643.85
2024-06-01,20,,-950.0,-287.5,167.5,376.5,-228.1,-1070.0
2024-06-01,21,355.3,-380.3,-287.5,427.675,168.1,-446.3,115.17500000000001
2024-06-01,22,290.0,-90.0,,822.5,18.6,-809.6,1022.5
2024-06-01,23,598.5,-145.5,-205.0,469.05,73.2,-355.8,717.05
2024-06-01,24,147.3,-324.3,-315.0,,323.8,-12.0,-492.0
2024-06-02,1,,-446.0,-132.5,40.0,56.9,-178.7,-538.5
2024-06-02,2,8.0,-412.0,-710.0,,544.3,-10.8,-1114.0
2024-06-02,3,5.5,-634.5,-55.0,,242.7,-34.6,-684.0
2024-06-02,4,20.5,-320.5,-135.6,,47.0,-93.3,-435.6
2024-06-02,5,,-553.0,,,168.4,-25.6,-553.0
2024-06-02,6,14.5,-714.5,,37.5,358.8,-10.7,-662.5
2024-06-02,7,,-500.0,,,180.6,-32.7,-500.0
2024-06-02,8,95.3,-395.3,-516.725,157.5,18.4,-524.1,-659.225
2024-06-02,9,117.0,-1490.0,-519.875,,586.1,-99.6,-1892.875
2024-06-02,10,83.8,-1258.8,-759.275,,107.7,-124.0,-1934.275
2024-06-02,11,,-1920.0,-485.0,,40.8,-257.9,-2405.0
2024-06-02,12,,-1920.0,-1133.35,,63.3,-265.0,-3053.35
2024-06-02,13,,-2275.0,-946.0,,57.5,-228.5,-3221.0
2024-06-02,14,,-2350.0,-496.6,,71.9,-271.3,-2846.6
2024-06-02,15,,-2900.0,-880.0,,367.1,-72.9,-3780.0
2024-06-02,16,,-2100.0,-380.0,,125.9,-47.6,-2480.0
2024-06-02,17,,-2041.3,-275.0,,266.9,-104.1,-2316.3
2024-06-02,18,23.8,-1677.8,,,39.7,-414.5,-1654.0
2024-06-02,19,134.3,-791.8,,,48.2,-738.1,-657.5
2024-06-02,20,184.5,-844.8,-302.5,,101.9,-884.0,-962.8
2024-06-02,21,330.3,-586.0,-110.5,150.0,51.5,-1075.2,-216.2
2024-06-02,22,877.0,-34.5,,,71.9,-408.4,842.5
2024-06-02,23,800.5,,,,286.1,-49.0,800.5
2024-06-02,24,739.3,,-187.5,,197.6,-82.3,551.8
2024-06-03,1,,,,515.525,108.3,-168.6,515.525
2024-06-03,2,63.5,-301.5,-32.425,237.3,100.7,-431.0,-33.124999999999986
2024-06-03,3,5.0,-125.0,-205.625,107.5,134.9,-187.1,-218.125
2024-06-03,4,5.0,-307.0,,,123.2,-102.3,-302.0
2024-06-03,5,7.5,-287.5,,220.275,204.0,-106.3,-59.724999999999994
2024-06-03,6,456.0,-26.0,-31.525,85.0,174.5,-152.4,483.475
2024-06-03,7,306.5,-91.5,-185.0,287.5,39.9,-372.5,317.5
2024-06-03,8,94.0,-369.0,-486.375,,216.9,-187.5,-761.375
2024-06-03,9,,,-1940.0,,520.3,-85.9,-1940.0
2024-06-03,10,46.0,-598.0,-650.25,,404.3,-237.4,-1202.25
2024-06-03,11,,-1733.0,,,897.5,-9.7,-1733.0
2024-06-03,12,,-1404.0,,347.5,378.5,-27.9,-1056.5
2024-06-03,13,,-1131.0,,215.7,357.1,-31.6,-915.3
2024-06-03,14,3.5,-237.5,-218.25,,248.0,-44.1,-452.25
2024-06-03,15,1.0,-81.0,,665.0,445.6,-40.0,585.0
2024-06-03,16,2.0,-37.0,,1115.0,281.0,-115.2,1080.0
2024-06-03,17,198.0,,,1182.5,71.6,-341.9,1380.5
2024-06-03,18,227.3,-40.3,,483.725,193.1,-144.8,670.7250000000001
2024-06-03,19,107.0,-107.0,-173.125,491.275,138.6,-287.3,318.15
2024-06-03,20,518.8,-268.8,-127.025,,36.1,-1445.8,122.97499999999994
2024-06-03,21,150.5,-850.5,-1206.075,,0.3,-1264.3,-1906.075
2024-06-03,22,126.5,-777.5,-1090.0,,92.8,-330.0,-1741.0
2024-06-03,23,288.5,-588.5,-1005.0,,198.7,-416.3,-1305.0
2024-06-03,24,11.5,-311.5,-540.0,,73.8,-312.1,-840.0
2024-06-04,1,238.8,-8.8,-65.0,,197.0,-154.0,165.0
2024-06-04,2,129.5,-54.5,-67.5,120.0,60.6,-150.3,127.5
2024-06-04,3,73.5,-40.5,,140.0,225.5,-197.7,173.0
2024-06-04,4,125.5,-8.5,,310.0,462.6,-23.6,427.0
2024-06-04,5,177.5,-16.0,,650.0,227.7,-67.4,811.5
2024-06-04,6,67.0,-116.5,-155.0,100.0,193.6,-100.0,-104.5
2024-06-04,7,143.5,-258.5,-560.0,,8.0,-518.7,-675.0
2024-06-04,8,186.5,-340.0,-1180.0,,351.7,-272.4,-1333.5
2024-06-04,9,223.5,-1055.0,-164.75,,206.6,-526.8,-996.25
2024-06-04,10,155.0,-295.5,-735.0,,136.0,-247.2,-875.5
2024-06-04,11,64.0,,-80.0,,159.2,-205.3,-16.0
2024-06-04,12,,,,,29.0,-266.2,0.0
2024-06-04,13,,,,252.5,314.5,-103.5,252.5
2024-06-04,14,6.0,-6.0,,175.0,396.5,-19.1,175.0
2024-06-04,15,,,,247.525,429.1,-32.7,247.525
2024-06-04,16,,,,918.5,478.6,-63.2,918.5
2024-06-04,17,,,,999.95,635.6,-88.1,999.95
2024-06-04,18,325.5,-67.0,,840.0,90.8,-420.1,1098.5
2024-06-04,19,401.0,-24.0,-102.5,305.0,148.7,-650.7,579.5
2024-06-04,20,399.0,-527.5,-400.025,,64.7,-913.1,-528.525
2024-06-04,21,258.8,-1355.0,,127.5,167.7,-490.3,-968.7
2024-06-04,22,622.5,-583.5,,132.5,287.7,-132.5,171.5
2024-06-04,23,632.5,-518.5,-533.3,87.5,307.6,-107.7,-331.79999999999995
2024-06-04,24,309.3,-567.3,-750.0,,610.7,-66.5,-1008.0
2024-06-05,1,205.5,-112.5,-132.5,325.0,80.8,-288.7,285.5
2024-06-05,2,,,-122.5,177.725,104.6,-156.2,55.224999999999994
2024-06-05,3,,,-17.5,117.5,48.2,-202.3,100.0
2024-06-05,4,,,-162.5,,66.4,-888.6,-162.5
2024-06-05,5,85.0,-385.0,-203.225,,204.1,-87.3,-503.225
2024-06-05,6,,,-420.0,,102.3,-203.5,-420.0
2024-06-05,7,262.5,-643.5,-407.5,,250.7,-223.8,-788.5
2024-06-05,8,455.8,-947.8,-445.0,,214.0,-144.8,-937.0
2024-06-05,9,206.3,-992.8,-1136.7,97.5,0.0,-0.0,-1825.7
2024-06-05,10,304.8,-812.8,-922.525,,0.0,-0.0,-1430.5249999999999
2024-06-05,11,93.5,-318.5,,47.5,0.0,-0.0,-177.5
2024-06-05,12,,,,645.0,0.0,-0.0,645.0
2024-06-05,13,170.0,,,202.5,0.0,-0.0,372.5
2024-06-05,14,150.0,,-145.125,305.034,0.0,-0.0,309.909
2024-06-05,15,,,-142.5,35.0,0.0,-0.0,-107.5
2024-06-05,16,9.0,-506.8,-267.5,62.5,0.0,-0.0,-702.8
2024-06-05,17,287.3,-62.3,-152.5,192.5,0.0,-0.0,265.0
2024-06-05,18,358.8,-21.8,,900.0,0.0,-0.0,1237.0
2024-06-05,19,673.0,-101.0,,1110.0,0.0,-0.0,1682.0
2024-06-05,20,562.8,-347.8,-350.0,320.0,0.0,-0.0,185.0
2024-06-05,21,499.8,-734.8,-135.0,120.0,148.9,-276.5,-250.0
2024-06-05,22,811.8,-391.8,-197.5,,58.9,-808.7,222.49999999999994
2024-06-05,23,404.0,-240.0,-890.0,,232.8,-188.5,-726.0
2024-06-05,24,239.8,-489.8,,150.0,280.2,-73.4,-100.0
2024-06-06,1,267.3,-42.3,-70.0,45.0,365.0,-165.3,200.0
2024-06-06,2,587.8,-250.8,,310.0,129.0,-110.3,647.0
2024-06-06,3,273.5,-73.5,,150.0,151.1,-89.7,350.0
2024-06-06,4,99.8,-99.8,,285.0,367.5,-4.8,285.0
2024-06-06,5,,,,257.5,57.7,-89.1,257.5
2024-06-06,6,231.0,-156.0,,92.5,67.1,-133.0,167.5
2024-06-06,7,155.5,-180.5,-377.425,,29.0,-442.8,-402.425
2024-06-06,8,261.3,-582.3,-767.5,,137.4,-313.3,-1088.5
2024-06-06,9,337.8,-761.8,-565.175,,527.9,-109.0,-989.175
2024-06-06,10,281.3,-13.3,-1053.675,,221.6,-166.1,-785.675
2024-06-06,11,170.8,-74.8,-350.975,32.5,133.8,-142.1,-222.47500000000002
2024-06-06,12,9.0,-209.0,,127.5,28.9,-315.7,-72.5
2024-06-06,13,,,-625.0,,209.7,-156.6,-625.0
2024-06-06,14,,-399.0,-387.5,,515.9,-73.8,-786.5
2024-06-06,15,,,-410.0,50.0,141.7,-295.5,-360.0
2024-06-06,16,1.5,-41.5,-260.0,140.0,381.9,-34.0,-160.0
2024-06-06,17,137.3,-132.3,,1034.975,80.4,-438.0,1039.975
2024-06-06,18,240.8,-18.8,-55.975,760.0,435.9,-177.6,926.025
2024-06-06,19,504.0,-21.0,,1165.0,392.5,-267.1,1648.0
2024-06-06,20,240.0,-229.0,-122.5,792.5,275.8,-391.4,681.0
2024-06-06,21,343.5,-401.0,-140.0,927.5,396.5,-197.3,730.0
2024-06-06,22,,,,471.25,180.5,-149.9,471.25
2024-06-06,23,202.8,-292.8,-165.0,242.05,151.9,-365.9,-12.949999999999989
2024-06-06,24,200.0,-78.5,-320.0,162.5,54.5,-486.1,-36.0
2024-06-07,1,729.8,-124.8,,287.5,65.7,-240.1,892.5
2024-06-07,2,669.3,-73.3,-60.0,60.0,29.4,-382.6,596.0
2024-06-07,3,66.0,-344.0,-62.5,60.0,195.9,-51.2,-280.5
2024-06-07,4,,,,285.0,520.6,-8.0,285.0
2024-06-07,5,433.3,-33.3,,1037.5,102.3,-159.3,1437.5
2024-06-07,6,490.0,-15.0,,625.0,17.0,-481.5,1100.0
2024-06-07,7,257.5,-434.0,,280.0,142.1,-182.7,103.5
