date,session,period,price
2024-06-01,I1,1,4.99
2024-06-01,I2,1,6.92
2024-06-01,I3,1,7.55
2024-06-01,MD,1,4.99
2024-06-01,I1,2,3.25
2024-06-01,I2,2,6.4
2024-06-01,I3,2,6.45
2024-06-01,MD,2,3.25
2024-06-01,I1,3,3.25
2024-06-01,I2,3,3.25
2024-06-01,I3,3,3.25
2024-06-01,MD,3,3.25
2024-06-01,I1,4,3.25
2024-06-01,I2,4,3.25
2024-06-01,I3,4,3.25
2024-06-01,MD,4,1.23
2024-06-01,I1,5,1.0
2024-06-01,I2,5,3.25
2024-06-01,I3,5,3.25
2024-06-01,MD,5,0.09
2024-06-01,I1,6,2.5
2024-06-01,I2,6,3.25
2024-06-01,I3,6,3.25
2024-06-01,MD,6,3.25
2024-06-01,I1,7,2.5
2024-06-01,I2,7,3.25
2024-06-01,I3,7,4.35
2024-06-01,MD,7,3.25
2024-06-01,I1,8,3.25
2024-06-01,I2,8,3.25
2024-06-01,I3,8,3.25
2024-06-01,MD,8,3.25
2024-06-01,I1,9,0.88
2024-06-01,I2,9,3.01
2024-06-01,I3,9,1.0
2024-06-01,MD,9,0.0
2024-06-01,I1,10,-1.37
2024-06-01,I2,10,0.0
2024-06-01,I3,10,0.0
2024-06-01,MD,10,0.0
2024-06-01,I1,11,-2.0
2024-06-01,I2,11,-0.6
2024-06-01,I3,11,0.0
2024-06-01,MD,11,-0.01
2024-06-01,I1,12,-2.0
2024-06-01,I2,12,-0.3
2024-06-01,I3,12,-0.18
2024-06-01,MD,12,-0.36
2024-06-01,I1,13,-2.0
2024-06-01,I2,13,-1.0
2024-06-01,I3,13,-0.25
2024-06-01,MD,13,-0.5
2024-06-01,I1,14,-2.0
2024-06-01,I2,14,-0.36
2024-06-01,I3,14,-0.18
2024-06-01,MD,14,-0.36
2024-06-01,I1,15,-2.0
2024-06-01,I2,15,-1.74
2024-06-01,I3,15,-0.6
2024-06-01,MD,15,-0.6
2024-06-01,I1,16,-2.0
2024-06-01,I2,16,-3.5
2024-06-01,I3,16,-1.74
2024-06-01,MD,16,-0.62
2024-06-01,I1,17,-2.0
2024-06-01,I2,17,-3.56
2024-06-01,I3,17,-1.0
2024-06-01,MD,17,-0.66
2024-06-01,I1,18,-2.6
2024-06-01,I2,18,-2.6
2024-06-01,I3,18,-0.6
2024-06-01,MD,18,-0.6
2024-06-01,I1,19,-2.0
2024-06-01,I2,19,-0.01
2024-06-01,I3,19,0.0
2024-06-01,MD,19,-0.01
2024-06-01,I1,20,0.44
2024-06-01,I2,20,0.44
2024-06-01,I3,20,1.0
2024-06-01,MD,20,0.0
2024-06-01,I1,21,3.25
2024-06-01,I2,21,3.25
2024-06-01,I3,21,3.25
2024-06-01,MD,21,3.25
2024-06-01,I1,22,7.2
2024-06-01,I2,22,7.0
2024-06-01,I3,22,7.2
2024-06-01,MD,22,7.2
2024-06-01,I1,23,8.4
2024-06-01,I2,23,6.43
2024-06-01,I3,23,8.43
2024-06-01,MD,23,8.44
2024-06-01,I1,24,5.0
2024-06-01,I2,24,4.5
2024-06-01,I3,24,4.5
2024-06-01,MD,24,4.5
2024-06-02,I1,1,7.2
2024-06-02,I2,1,7.92
2024-06-02,I3,1,29.1
2024-06-02,MD,1,7.2
2024-06-02,I1,2,5.0
2024-06-02,I2,2,7.5
2024-06-02,I3,2,28.5
2024-06-02,MD,2,5.0
2024-06-02,I1,3,4.35
2024-06-02,I2,3,5.01
2024-06-02,I3,3,16.8
2024-06-02,MD,3,4.35
2024-06-02,I1,4,1.6
2024-06-02,I2,4,4.6
2024-06-02,I3,4,13.03
2024-06-02,MD,4,3.6
2024-06-02,I1,5,1.94
2024-06-02,I2,5,4.6
2024-06-02,I3,5,5.6
2024-06-02,MD,5,3.6
2024-06-02,I1,6,4.36
2024-06-02,I2,6,5.5
2024-06-02,I3,6,17.45
2024-06-02,MD,6,5.0
2024-06-02,I1,7,3.4
2024-06-02,I2,7,5.21
2024-06-02,I3,7,14.93
2024-06-02,MD,7,4.43
2024-06-02,I1,8,3.25
2024-06-02,I2,8,3.25
2024-06-02,I3,8,3.25
2024-06-02,MD,8,3.25
2024-06-02,I1,9,0.0
2024-06-02,I2,9,0.0
2024-06-02,I3,9,0.44
2024-06-02,MD,9,0.0
2024-06-02,I1,10,-2.0
2024-06-02,I2,10,-1.0
2024-06-02,I3,10,-0.02
2024-06-02,MD,10,-0.03
2024-06-02,I1,11,-2.04
2024-06-02,I2,11,-1.8
2024-06-02,I3,11,-1.0
2024-06-02,MD,11,-1.05
2024-06-02,I1,12,-4.6
2024-06-02,I2,12,-4.35
2024-06-02,I3,12,-3.0
2024-06-02,MD,12,-1.86
2024-06-02,I1,13,-4.6
2024-06-02,I2,13,-4.5
2024-06-02,I3,13,-5.0
2024-06-02,MD,13,-1.86
2024-06-02,I1,14,-2.5
2024-06-02,I2,14,-4.0
2024-06-02,I3,14,-2.71
2024-06-02,MD,14,-1.86
2024-06-02,I1,15,-2.5
2024-06-02,I2,15,-4.0
2024-06-02,I3,15,-3.0
2024-06-02,MD,15,-1.86
2024-06-02,I1,16,-2.0
2024-06-02,I2,16,-2.0
2024-06-02,I3,16,-1.86
2024-06-02,MD,16,-1.86
2024-06-02,I1,17,-2.5
2024-06-02,I2,17,-2.0
2024-06-02,I3,17,-2.0
2024-06-02,MD,17,-1.86
2024-06-02,I1,18,-1.0
2024-06-02,I2,18,-1.0
2024-06-02,I3,18,-0.6
2024-06-02,MD,18,-1.0
2024-06-02,I1,19,-0.01
2024-06-02,I2,19,-0.01
2024-06-02,I3,19,0.0
2024-06-02,MD,19,-0.01
2024-06-02,I1,20,0.44
2024-06-02,I2,20,3.25
2024-06-02,I3,20,3.25
2024-06-02,MD,20,0.44
2024-06-02,I1,21,14.71
2024-06-02,I2,21,28.5
2024-06-02,I3,21,29.92
2024-06-02,MD,21,11.35
2024-06-02,I1,22,25.01
2024-06-02,I2,22,25.0
2024-06-02,I3,22,31.64
2024-06-02,MD,22,25.01
2024-06-02,I1,23,26.87
2024-06-02,I2,23,25.87
2024-06-02,I3,23,31.76
2024-06-02,MD,23,28.87
2024-06-02,I1,24,11.42
2024-06-02,I2,24,13.69
2024-06-02,I3,24,31.42
2024-06-02,MD,24,13.42
2024-06-03,I1,1,18.16
2024-06-03,I2,1,59.16
2024-06-03,I3,1,72.2
2024-06-03,MD,1,9.16
2024-06-03,I1,2,19.11
2024-06-03,I2,2,64.1
2024-06-03,I3,2,69.08
2024-06-03,MD,2,14.1
2024-06-03,I1,3,19.11
2024-06-03,I2,3,58.43
2024-06-03,I3,3,68.05
2024-06-03,MD,3,14.1
2024-06-03,I1,4,15.51
2024-06-03,I2,4,54.48
2024-06-03,I3,4,69.08
2024-06-03,MD,4,12.5
2024-06-03,I1,5,19.33
2024-06-03,I2,5,64.32
2024-06-03,I3,5,70.64
2024-06-03,MD,5,14.32
2024-06-03,I1,6,16.66
2024-06-03,I2,6,60.15
2024-06-03,I3,6,53.16
2024-06-03,MD,6,10.15
2024-06-03,I1,7,40.0
2024-06-03,I2,7,71.92
2024-06-03,I3,7,75.01
2024-06-03,MD,7,35.01
2024-06-03,I1,8,47.94
2024-06-03,I2,8,56.91
2024-06-03,I3,8,61.91
2024-06-03,MD,8,37.94
2024-06-03,I1,9,61.92
2024-06-03,I2,9,61.0
2024-06-03,I3,9,67.64
2024-06-03,MD,9,41.93
2024-06-03,I1,10,35.1
2024-06-03,I2,10,38.5
2024-06-03,I3,10,40.1
2024-06-03,MD,10,35.0
2024-06-03,I1,11,19.56
2024-06-03,I2,11,28.9
2024-06-03,I3,11,55.11
2024-06-03,MD,11,16.9
2024-06-03,I1,12,22.1
2024-06-03,I2,12,39.77
2024-06-03,I3,12,55.11
2024-06-03,MD,12,5.44
2024-06-03,I1,13,21.12
2024-06-03,I2,13,54.46
2024-06-03,I3,13,54.46
2024-06-03,MD,13,4.46
2024-06-03,I1,14,18.3
2024-06-03,I2,14,38.3
2024-06-03,I3,14,48.4
2024-06-03,MD,14,8.3
2024-06-03,I1,15,9.15
2024-06-03,I2,15,22.61
2024-06-03,I3,15,38.25
2024-06-03,MD,15,3.25
2024-06-03,I1,16,4.81
2024-06-03,I2,16,14.71
2024-06-03,I3,16,29.28
2024-06-03,MD,16,1.31
2024-06-03,I1,17,10.96
2024-06-03,I2,17,23.15
2024-06-03,I3,17,38.25
2024-06-03,MD,17,3.25
2024-06-03,I1,18,21.85
2024-06-03,I2,18,37.01
2024-06-03,I3,18,48.44
2024-06-03,MD,18,11.86
2024-06-03,I1,19,42.78
2024-06-03,I2,19,49.98
2024-06-03,I3,19,41.0
2024-06-03,MD,19,35.0
2024-06-03,I1,20,69.77
2024-06-03,I2,20,70.5
2024-06-03,I3,20,62.19
2024-06-03,MD,20,49.22
2024-06-03,I1,21,83.33
2024-06-03,I2,21,85.41
2024-06-03,I3,21,83.76
2024-06-03,MD,21,75.37
2024-06-03,I1,22,104.0
2024-06-03,I2,22,106.84
2024-06-03,I3,22,106.25
2024-06-03,MD,22,102.15
2024-06-03,I1,23,88.85
2024-06-03,I2,23,93.31
2024-06-03,I3,23,86.56
2024-06-03,MD,23,81.31
2024-06-03,I1,24,73.29
2024-06-03,I2,24,76.17
2024-06-03,I3,24,70.6
2024-06-03,MD,24,63.3
2024-06-04,I1,1,96.0
2024-06-04,I2,1,92.21
2024-06-04,I3,1,97.66
2024-06-04,MD,1,99.2
2024-06-04,I1,2,90.44
2024-06-04,I2,2,85.72
2024-06-04,I3,2,87.72
2024-06-04,MD,2,92.72
2024-06-04,I1,3,89.55
2024-06-04,I2,3,80.29
2024-06-04,I3,3,89.88
2024-06-04,MD,3,94.88
2024-06-04,I1,4,79.82
2024-06-04,I2,4,75.12
2024-06-04,I3,4,84.82
2024-06-04,MD,4,84.82
2024-06-04,I1,5,89.88
2024-06-04,I2,5,79.51
2024-06-04,I3,5,84.82
2024-06-04,MD,5,94.88
2024-06-04,I1,6,90.4
2024-06-04,I2,6,84.99
2024-06-04,I3,6,84.82
2024-06-04,MD,6,95.4
2024-06-04,I1,7,139.57
2024-06-04,I2,7,92.51
2024-06-04,I3,7,96.0
2024-06-04,MD,7,150.0
2024-06-04,I1,8,165.75
2024-06-04,I2,8,155.55
2024-06-04,I3,8,150.0
2024-06-04,MD,8,175.55
2024-06-04,I1,9,108.0
2024-06-04,I2,9,101.22
2024-06-04,I3,9,101.84
2024-06-04,MD,9,113.22
2024-06-04,I1,10,84.32
2024-06-04,I2,10,78.0
2024-06-04,I3,10,74.79
2024-06-04,MD,10,81.82
2024-06-04,I1,11,75.01
2024-06-04,I2,11,69.97
2024-06-04,I3,11,68.97
2024-06-04,MD,11,70.0
2024-06-04,I1,12,58.81
2024-06-04,I2,12,67.3
2024-06-04,I3,12,78.77
2024-06-04,MD,12,37.3
2024-06-04,I1,13,49.01
2024-06-04,I2,13,57.2
2024-06-04,I3,13,60.02
2024-06-04,MD,13,35.01
2024-06-04,I1,14,49.0
2024-06-04,I2,14,57.2
2024-06-04,I3,14,62.89
2024-06-04,MD,14,35.0
2024-06-04,I1,15,41.01
2024-06-04,I2,15,53.2
2024-06-04,I3,15,50.0
2024-06-04,MD,15,35.0
2024-06-04,I1,16,36.5
2024-06-04,I2,16,57.2
2024-06-04,I3,16,61.2
2024-06-04,MD,16,27.5
2024-06-04,I1,17,35.0
2024-06-04,I2,17,47.42
2024-06-04,I3,17,42.85
2024-06-04,MD,17,30.0
2024-06-04,I1,18,49.01
2024-06-04,I2,18,56.01
2024-06-04,I3,18,56.92
2024-06-04,MD,18,35.01
2024-06-04,I1,19,77.34
2024-06-04,I2,19,60.47
2024-06-04,I3,19,61.58
2024-06-04,MD,19,59.48
2024-06-04,I1,20,85.0
2024-06-04,I2,20,67.18
2024-06-04,I3,20,65.18
2024-06-04,MD,20,67.18
2024-06-04,I1,21,114.0
2024-06-04,I2,21,99.2
2024-06-04,I3,21,91.17
2024-06-04,MD,21,116.24
2024-06-04,I1,22,171.15
2024-06-04,I2,22,166.15
2024-06-04,I3,22,161.14
2024-06-04,MD,22,171.15
2024-06-04,I1,23,155.0
2024-06-04,I2,23,139.07
2024-06-04,I3,23,130.0
2024-06-04,MD,23,157.0
2024-06-04,I1,24,141.0
2024-06-04,I2,24,125.0
2024-06-04,I3,24,125.8
2024-06-04,MD,24,145.0
2024-06-05,I1,1,117.01
2024-06-05,I2,1,118.01
2024-06-05,I3,1,121.01
2024-06-05,MD,1,117.01
2024-06-05,I1,2,112.42
2024-06-05,I2,2,110.92
2024-06-05,I3,2,113.42
2024-06-05,MD,2,112.42
2024-06-05,I1,3,110.0
2024-06-05,I2,3,108.5
2024-06-05,I3,3,111.29
2024-06-05,MD,3,110.0
2024-06-05,I1,4,110.0
2024-06-05,I2,4,108.01
2024-06-05,I3,4,110.0
2024-06-05,MD,4,110.0
2024-06-05,I1,5,103.68
2024-06-05,I2,5,101.0
2024-06-05,I3,5,100.93
2024-06-05,MD,5,104.68
2024-06-05,I1,6,105.4
2024-06-05,I2,6,103.13
2024-06-05,I3,6,103.32
2024-06-05,MD,6,107.19
2024-06-05,I1,7,110.0
2024-06-05,I2,7,110.7
2024-06-05,I3,7,110.0
2024-06-05,MD,7,110.0
2024-06-05,I1,8,120.09
2024-06-05,I2,8,118.09
2024-06-05,I3,8,121.88
2024-06-05,MD,8,123.08
2024-06-05,I1,9,115.81
2024-06-05,I2,9,115.22
2024-06-05,I3,9,119.22
2024-06-05,MD,9,120.22
2024-06-05,I1,10,107.91
2024-06-05,I2,10,103.92
2024-06-05,I3,10,103.0
2024-06-05,MD,10,110.91
2024-06-05,I1,11,78.56
2024-06-05,I2,11,81.31
2024-06-05,I3,11,81.0
2024-06-05,MD,11,81.56
2024-06-05,I1,12,63.0
2024-06-05,I2,12,74.13
2024-06-05,I3,12,67.5
2024-06-05,MD,12,55.0
2024-06-05,I1,13,59.2
2024-06-05,I2,13,78.31
2024-06-05,I3,13,80.0
2024-06-05,MD,13,50.21
2024-06-05,I1,14,62.25
2024-06-05,I2,14,82.77
2024-06-05,I3,14,80.0
2024-06-05,MD,14,47.25
2024-06-05,I1,15,49.0
2024-06-05,I2,15,72.09
2024-06-05,I3,15,80.0
2024-06-05,MD,15,35.01
2024-06-05,I1,16,45.21
2024-06-05,I2,16,74.99
2024-06-05,I3,16,75.33
2024-06-05,MD,16,35.01
2024-06-05,I1,17,48.73
2024-06-05,I2,17,60.01
2024-06-05,I3,17,60.0
2024-06-05,MD,17,35.01
2024-06-05,I1,18,63.87
2024-06-05,I2,18,77.07
2024-06-05,I3,18,70.0
2024-06-05,MD,18,54.88
2024-06-05,I1,19,76.0
2024-06-05,I2,19,76.01
2024-06-05,I3,19,75.0
2024-06-05,MD,19,79.0
2024-06-05,I1,20,102.4
2024-06-05,I2,20,105.0
2024-06-05,I3,20,99.0
2024-06-05,MD,20,108.41
2024-06-05,I1,21,123.97
2024-06-05,I2,21,118.13
2024-06-05,I3,21,122.92
2024-06-05,MD,21,124.12
2024-06-05,I1,22,183.0
2024-06-05,I2,22,167.01
2024-06-05,I3,22,168.76
2024-06-05,MD,22,170.01
2024-06-05,I1,23,121.59
2024-06-05,I2,23,117.08
2024-06-05,I3,23,109.06
2024-06-05,MD,23,124.07
2024-06-05,I1,24,111.2
2024-06-05,I2,24,106.21
2024-06-05,I3,24,100.1
2024-06-05,MD,24,113.2
2024-06-06,I1,1,102.98
2024-06-06,I2,1,101.42
2024-06-06,I3,1,102.04
2024-06-06,MD,1,103.72
2024-06-06,I1,2,100.48
2024-06-06,I2,2,98.56
2024-06-06,I3,2,91.78
2024-06-06,MD,2,107.63
2024-06-06,I1,3,104.31
2024-06-06,I2,3,101.48
2024-06-06,I3,3,94.45
2024-06-06,MD,3,110.3
2024-06-06,I1,4,102.53
2024-06-06,I2,4,98.03
2024-06-06,I3,4,93.68
2024-06-06,MD,4,109.53
2024-06-06,I1,5,102.11
2024-06-06,I2,5,96.0
2024-06-06,I3,5,94.15
2024-06-06,MD,5,110.0
2024-06-06,I1,6,104.34
2024-06-06,I2,6,96.0
2024-06-06,I3,6,86.1
2024-06-06,MD,6,110.3
2024-06-06,I1,7,107.24
2024-06-06,I2,7,96.0
2024-06-06,I3,7,90.0
2024-06-06,MD,7,112.88
2024-06-06,I1,8,111.52
2024-06-06,I2,8,108.03
2024-06-06,I3,8,100.23
2024-06-06,MD,8,114.47
2024-06-06,I1,9,101.43
2024-06-06,I2,9,98.56
2024-06-06,I3,9,91.3
2024-06-06,MD,9,101.44
2024-06-06,I1,10,84.16
2024-06-06,I2,10,84.16
2024-06-06,I3,10,72.45
2024-06-06,MD,10,84.16
2024-06-06,I1,11,74.15
2024-06-06,I2,11,81.0
2024-06-06,I3,11,68.23
2024-06-06,MD,11,81.15
2024-06-06,I1,12,66.0
2024-06-06,I2,12,69.0
2024-06-06,I3,12,64.0
2024-06-06,MD,12,69.0
2024-06-06,I1,13,65.5
2024-06-06,I2,13,62.0
2024-06-06,I3,13,62.0
2024-06-06,MD,13,62.0
2024-06-06,I1,14,61.3
2024-06-06,I2,14,60.3
2024-06-06,I3,14,53.3
2024-06-06,MD,14,56.3
2024-06-06,I1,15,56.3
2024-06-06,I2,15,56.2
2024-06-06,I3,15,51.2
2024-06-06,MD,15,56.2
2024-06-06,I1,16,58.9
2024-06-06,I2,16,55.9
2024-06-06,I3,16,52.9
2024-06-06,MD,16,55.9
2024-06-06,I1,17,65.5
2024-06-06,I2,17,62.0
2024-06-06,I3,17,62.0
2024-06-06,MD,17,62.0
2024-06-06,I1,18,68.0
2024-06-06,I2,18,62.5
2024-06-06,I3,18,55.58
2024-06-06,MD,18,80.0
2024-06-06,I1,19,90.0
2024-06-06,I2,19,90.0
2024-06-06,I3,19,77.02
2024-06-06,MD,19,90.0
2024-06-06,I1,20,99.3
2024-06-06,I2,20,93.31
2024-06-06,I3,20,88.77
2024-06-06,MD,20,100.3
2024-06-06,I1,21,111.94
2024-06-06,I2,21,103.23
2024-06-06,I3,21,100.0
2024-06-06,MD,21,115.23
2024-06-06,I1,22,118.37
2024-06-06,I2,22,108.18
2024-06-06,I3,22,107.0
2024-06-06,MD,22,122.37
2024-06-06,I1,23,112.28
2024-06-06,I2,23,106.87
2024-06-06,I3,23,106.0
2024-06-06,MD,23,116.87
2024-06-06,I1,24,106.41
2024-06-06,I2,24,98.41
2024-06-06,I3,24,100.42
2024-06-06,MD,24,110.41
2024-06-07,I1,1,97.68
2024-06-07,I2,1,94.98
2024-06-07,I3,1,99.45
2024-06-07,MD,1,98.98
2024-06-07,I1,2,96.01
2024-06-07,I2,2,93.01
2024-06-07,I3,2,95.0
2024-06-07,MD,2,98.0
2024-06-07,I1,3,93.08
2024-06-07,I2,3,91.24
2024-06-07,I3,3,95.09
2024-06-07,MD,3,95.0
2024-06-07,I1,4,94.79
2024-06-07,I2,4,88.79
2024-06-07,I3,4,91.73
2024-06-07,MD,4,97.79
2024-06-07,I1,5,94.98
2024-06-07,I2,5,90.79
2024-06-07,I3,5,88.01
2024-06-07,MD,5,97.79
2024-06-07,I1,6,96.69
2024-06-07,I2,6,91.5
2024-06-07,I3,6,78.44
2024-06-07,MD,6,98.0
2024-06-07,I1,7,95.9
2024-06-07,I2,7,93.0
2024-06-07,I3,7,86.32
2024-06-07,MD,7,98.0
2024-06-07,I1,8,99.83
2024-06-07,I2,8,99.67
2024-06-07,I3,8,99.84
2024-06-07,MD,8,99.82
2024-06-07,I1,9,100.49
2024-06-07,I2,9,96.96
2024-06-07,I3,9,92.49
2024-06-07,MD,9,103.49
2024-06-07,I1,10,94.65
2024-06-07,I2,10,90.65
2024-06-07,I3,10,92.65
2024-06-07,MD,10,97.65
2024-06-07,I1,11,73.22
2024-06-07,I2,11,68.9
2024-06-07,I3,11,73.2
2024-06-07,MD,11,78.2
2024-06-07,I1,12,52.4
2024-06-07,I2,12,52.4
2024-06-07,I3,12,53.9
2024-06-07,MD,12,52.4
2024-06-07,I1,13,50.22
2024-06-07,I2,13,50.69
2024-06-07,I3,13,52.69
2024-06-07,MD,13,50.69
2024-06-07,I1,14,43.1
2024-06-07,I2,14,49.1
2024-06-07,I3,14,51.1
2024-06-07,MD,14,45.1
2024-06-07,I1,15,35.5
2024-06-07,I2,15,42.5
2024-06-07,I3,15,46.2
2024-06-07,MD,15,39.5
2024-06-07,I1,16,33.12
2024-06-07,I2,16,41.1
2024-06-07,I3,16,46.1
2024-06-07,MD,16,38.1
2024-06-07,I1,17,33.95
2024-06-07,I2,17,41.09
2024-06-07,I3,17,43.1
2024-06-07,MD,17,38.1
2024-06-07,I1,18,37.0
2024-06-07,I2,18,44.0
2024-06-07,I3,18,46.0
2024-06-07,MD,18,40.0
2024-06-07,I1,19,56.2
2024-06-07,I2,19,61.82
2024-06-07,I3,19,62.2
2024-06-07,MD,19,56.2
2024-06-07,I1,20,81.84
2024-06-07,I2,20,79.09
2024-06-07,I3,20,78.44
2024-06-07,MD,20,82.84
2024-06-07,I1,21,89.2
2024-06-07,I2,21,89.2
2024-06-07,I3,21,85.21
2024-06-07,MD,21,94.2
2024-06-07,I1,22,95.0
2024-06-07,I2,22,95.0
2024-06-07,I3,22,90.01
2024-06-07,MD,22,100.0
2024-06-07,I1,23,94.53
2024-06-07,I2,23,94.94
2024-06-07,I3,23,89.95
2024-06-07,MD,23,99.94
2024-06-07,I1,24,93.4
2024-06-07,I2,24,94.4
2024-06-07,I3,24,97.9
2024-06-07,MD,24,99.4
2024-06-08,I1,1,97.92
2024-06-08,I2,1,102.77
2024-06-08,I3,1,95.09
2024-06-08,MD,1,95.09
2024-06-08,I1,2,96.43
2024-06-08,I2,2,99.0
2024-06-08,I3,2,90.0
2024-06-08,MD,2,90.0
2024-06-08,I1,3,93.86
2024-06-08,I2,3,98.45
2024-06-08,I3,3,92.24
2024-06-08,MD,3,85.86
2024-06-08,I1,4,92.53
2024-06-08,I2,4,97.88
2024-06-08,I3,4,85.84
2024-06-08,MD,4,85.64
2024-06-08,I1,5,92.19
2024-06-08,I2,5,96.17
2024-06-08,I3,5,85.64
2024-06-08,MD,5,85.64
2024-06-08,I1,6,93.38
2024-06-08,I2,6,98.05
2024-06-08,I3,6,83.39
2024-06-08,MD,6,85.88
2024-06-08,I1,7,98.35
2024-06-08,I2,7,99.0
2024-06-08,I3,7,93.86
2024-06-08,MD,7,99.35
2024-06-08,I1,8,98.45
2024-06-08,I2,8,96.95
2024-06-08,I3,8,91.44
2024-06-08,MD,8,101.44
2024-06-08,I1,9,97.3
2024-06-08,I2,9,99.0
2024-06-08,I3,9,95.3
2024-06-08,MD,9,100.3
2024-06-08,I1,10,91.0
2024-06-08,I2,10,91.0
2024-06-08,I3,10,90.51
2024-06-08,MD,10,94.01
2024-06-08,I1,11,73.2
2024-06-08,I2,11,70.2
2024-06-08,I3,11,73.19
2024-06-08,MD,11,70.2
2024-06-08,I1,12,52.94
2024-06-08,I2,12,51.44
2024-06-08,I3,12,60.54
2024-06-08,MD,12,51.44
2024-06-08,I1,13,55.94
2024-06-08,I2,13,48.3
2024-06-08,I3,13,46.31
2024-06-08,MD,13,42.1
2024-06-08,I1,14,56.6
2024-06-08,I2,14,60.6
2024-06-08,I3,14,47.6
2024-06-08,MD,14,41.6
2024-06-08,I1,15,45.03
2024-06-08,I2,15,57.67
2024-06-08,I3,15,43.77
2024-06-08,MD,15,35.13
2024-06-08,I1,16,34.75
2024-06-08,I2,16,35.0
2024-06-08,I3,16,36.75
2024-06-08,MD,16,35.0
2024-06-08,I1,17,25.49
2024-06-08,I2,17,30.49
2024-06-08,I3,17,30.14
2024-06-08,MD,17,30.49
2024-06-08,I1,18,22.1
2024-06-08,I2,18,25.55
2024-06-08,I3,18,25.3
2024-06-08,MD,18,25.3
2024-06-08,I1,19,35.01
2024-06-08,I2,19,38.01
2024-06-08,I3,19,41.67
2024-06-08,MD,19,35.01
2024-06-08,I1,20,64.7
2024-06-08,I2,20,52.7
2024-06-08,I3,20,52.47
2024-06-08,MD,20,47.7
2024-06-08,I1,21,88.63
2024-06-08,I2,21,85.03
2024-06-08,I3,21,83.0
2024-06-08,MD,21,85.03
2024-06-08,I1,22,97.12
2024-06-08,I2,22,96.75
2024-06-08,I3,22,92.12
