date,datetime,period,fase_2_price,fase_2_spread,fase_2_volume
2024-06-01,2024-06-01 00:00:00,1,-0.36,-5.35,-1679.5
2024-06-01,2024-06-01 01:00:00,2,-1.41,-4.66,-1611.4
2024-06-01,2024-06-01 02:00:00,3,-1.42,-4.67,-1666.5
2024-06-01,2024-06-01 03:00:00,4,-3.15,-4.38,-1624.3
2024-06-01,2024-06-01 04:00:00,5,-4.23,-4.32,-1669.9
2024-06-01,2024-06-01 05:00:00,6,-1.5,-4.75,-1860.7
2024-06-01,2024-06-01 06:00:00,7,-1.46,-4.71,-1823.7
2024-06-01,2024-06-01 07:00:00,8,-2.3,-5.55,-2644.2
2024-06-01,2024-06-01 08:00:00,9,-5.03,-5.03,-2927.7
2024-06-01,2024-06-01 09:00:00,10,-5.91,-5.91,-2823.5
2024-06-01,2024-06-01 10:00:00,11,-6.34,-6.33,-2331.9
2024-06-01,2024-06-01 11:00:00,12,-6.91,-6.55,-2300.0
2024-06-01,2024-06-01 12:00:00,13,-7.13,-6.63,-2301.4
2024-06-01,2024-06-01 13:00:00,14,-7.07,-6.71,-2298.9
2024-06-01,2024-06-01 14:00:00,15,-7.34,-6.74,-2324.5
2024-06-01,2024-06-01 15:00:00,16,-7.44,-6.82,-2327.9
2024-06-01,2024-06-01 16:00:00,17,-7.39,-6.73,-2319.4
2024-06-01,2024-06-01 17:00:00,18,-7.14,-6.54,-2323.5
2024-06-01,2024-06-01 18:00:00,19,-6.27,-6.26,-2589.2
2024-06-01,2024-06-01 19:00:00,20,-4.89,-4.89,-2825.7
2024-06-01,2024-06-01 20:00:00,21,-0.95,-4.2,-2621.4
2024-06-01,2024-06-01 21:00:00,22,0.3,-6.9,-2377.6
2024-06-01,2024-06-01 22:00:00,23,1.77,-6.67,-2230.6
2024-06-01,2024-06-01 23:00:00,24,-1.65,-6.15,-2267.5
2024-06-02,2024-06-02 00:00:00,1,1.46,-5.74,-1915.5
2024-06-02,2024-06-02 01:00:00,2,-0.18,-5.18,-1921.7
2024-06-02,2024-06-02 02:00:00,3,-0.81,-5.16,-1801.7
2024-06-02,2024-06-02 03:00:00,4,-1.29,-4.89,-1774.1
2024-06-02,2024-06-02 04:00:00,5,-1.38,-4.98,-1853.0
2024-06-02,2024-06-02 05:00:00,6,-0.15,-5.15,-1889.3
2024-06-02,2024-06-02 06:00:00,7,-0.59,-5.02,-2032.9
2024-06-02,2024-06-02 07:00:00,8,-0.86,-4.11,-1986.4
2024-06-02,2024-06-02 08:00:00,9,-3.31,-3.31,-1969.5
2024-06-02,2024-06-02 09:00:00,10,-4.16,-4.13,-1650.9
2024-06-02,2024-06-02 10:00:00,11,-4.5,-3.45,-1362.9
2024-06-02,2024-06-02 11:00:00,12,-5.56,-3.7,-1305.3
2024-06-02,2024-06-02 12:00:00,13,-5.55,-3.69,-1307.2
2024-06-02,2024-06-02 13:00:00,14,-5.57,-3.71,-1327.0
2024-06-02,2024-06-02 14:00:00,15,-5.57,-3.71,-1326.6
2024-06-02,2024-06-02 15:00:00,16,-5.63,-3.77,-1357.7
